anio;Cod.Dep;Dep;edad;Hombres;Mujeres
2005;11;Bogotá;73;7691;10776
2005;11;Bogotá;74;6934;9660
2005;11;Bogotá;75;7293;10746
2005;11;Bogotá;76;6565;9474
2005;11;Bogotá;77;6226;8972
2005;11;Bogotá;78;4691;7183
2005;11;Bogotá;79;4785;7075
2005;11;Bogotá;80;3764;6130
2005;11;Bogotá;81;3341;5331
2005;11;Bogotá;82;2941;4985
2005;11;Bogotá;83;2591;4487
2005;11;Bogotá;84;2161;3641
2005;11;Bogotá;85;1990;3535
2005;11;Bogotá;86;1449;2698
2005;11;Bogotá;87;1150;2406
2005;11;Bogotá;88;1185;2094
2005;11;Bogotá;89;845;1718
2005;11;Bogotá;90;678;1301
2005;11;Bogotá;91;546;1062
2005;11;Bogotá;92;415;812
2005;11;Bogotá;93;281;594
2005;11;Bogotá;94;206;451
2005;11;Bogotá;95;221;457
2005;11;Bogotá;96;83;235
2005;11;Bogotá;97;61;163
2005;11;Bogotá;98;51;134
2005;11;Bogotá;99;56;88
2005;11;Bogotá;100;23;54
2005;11;Bogotá;101;65;36
2005;11;Bogotá;102;9;20
2005;11;Bogotá;103;6;11
2005;11;Bogotá;104;2;4
2005;11;Bogotá;105;32;15
2005;11;Bogotá;106;NA;1
2005;11;Bogotá;107;NA;1
2005;11;Bogotá;109;2;NA
2005;11;Bogotá;110;4;1
2005;11;Bogotá;112;NA;1
2005;11;Bogotá;114;2;NA
2005;11;Bogotá;115;19;6
2005;13;Bolívar;0;22470;20550
2005;13;Bolívar;1;21830;20599
2005;13;Bolívar;2;21252;19949
2005;13;Bolívar;3;20428;19162
2005;13;Bolívar;4;20859;19735
2005;13;Bolívar;5;22520;21408
2005;13;Bolívar;6;20700;19523
2005;13;Bolívar;7;19444;18683
2005;13;Bolívar;8;20027;19126
2005;13;Bolívar;9;19535;18453
2005;13;Bolívar;10;21289;20126
2005;13;Bolívar;11;21159;19788
2005;13;Bolívar;12;21083;19693
2005;13;Bolívar;13;21009;19893
2005;13;Bolívar;14;20806;19691
2005;13;Bolívar;15;20510;19708
2005;13;Bolívar;16;19852;18594
2005;13;Bolívar;17;18692;17760
2005;13;Bolívar;18;18192;17406
2005;13;Bolívar;19;17046;16602
2005;13;Bolívar;20;17861;18211
2005;13;Bolívar;21;15896;16312
2005;13;Bolívar;22;16100;16161
2005;13;Bolívar;23;16198;16406
2005;13;Bolívar;24;15274;15404
2005;13;Bolívar;25;15714;16206
2005;13;Bolívar;26;14693;14984
2005;13;Bolívar;27;13525;13951
2005;13;Bolívar;28;13697;14332
2005;13;Bolívar;29;12177;13068
2005;13;Bolívar;30;14240;14201
2005;13;Bolívar;31;11497;12265
2005;13;Bolívar;32;12194;12656
2005;13;Bolívar;33;12433;13191
2005;13;Bolívar;34;11891;12552
2005;13;Bolívar;35;13471;13595
2005;13;Bolívar;36;11861;12413
2005;13;Bolívar;37;11885;12643
2005;13;Bolívar;38;11908;12602
2005;13;Bolívar;39;11464;12019
2005;13;Bolívar;40;12474;12814
2005;13;Bolívar;41;10689;11390
2005;13;Bolívar;42;11770;12303
2005;13;Bolívar;43;10809;11129
2005;13;Bolívar;44;9446;9546
2005;13;Bolívar;45;10989;11068
2005;13;Bolívar;46;9037;9494
2005;13;Bolívar;47;8626;9311
2005;13;Bolívar;48;8727;9208
2005;13;Bolívar;49;7811;8103
2005;13;Bolívar;50;8425;8733
2005;13;Bolívar;51;7026;7117
2005;13;Bolívar;52;7100;7119
2005;13;Bolívar;53;7055;7022
2005;13;Bolívar;54;6385;6384
2005;13;Bolívar;55;7014;7195
2005;13;Bolívar;56;5931;6113
2005;13;Bolívar;57;5718;6018
2005;13;Bolívar;58;5179;5449
2005;13;Bolívar;59;4661;4817
2005;13;Bolívar;60;5243;5419
2005;13;Bolívar;61;4016;4414
2005;13;Bolívar;62;3790;3995
2005;13;Bolívar;63;4147;4311
2005;13;Bolívar;64;3778;3751
2005;13;Bolívar;65;4993;5258
2005;13;Bolívar;66;3350;3670
2005;13;Bolívar;67;3467;3663
2005;13;Bolívar;68;3395;3536
2005;13;Bolívar;69;2701;3115
2005;13;Bolívar;70;3465;3892
2005;13;Bolívar;71;2321;2702
2005;13;Bolívar;72;3005;3309
2005;13;Bolívar;73;2308;2592
2005;13;Bolívar;74;2070;2312
2005;13;Bolívar;75;2672;3083
2005;13;Bolívar;76;1869;2087
2005;13;Bolívar;77;1798;2026
2005;13;Bolívar;78;1618;1872
2005;13;Bolívar;79;1311;1557
2005;13;Bolívar;80;1401;1649
2005;13;Bolívar;81;1070;1310
2005;13;Bolívar;82;944;1264
2005;13;Bolívar;83;955;1236
2005;13;Bolívar;84;751;902
2005;13;Bolívar;85;940;1294
2005;13;Bolívar;86;621;788
2005;13;Bolívar;87;501;688
2005;13;Bolívar;88;414;580
2005;13;Bolívar;89;420;533
2005;13;Bolívar;90;284;421
2005;13;Bolívar;91;196;291
2005;13;Bolívar;92;173;234
2005;13;Bolívar;93;121;204
2005;13;Bolívar;94;111;160
2005;13;Bolívar;95;77;134
2005;13;Bolívar;96;54;90
2005;13;Bolívar;97;54;72
2005;13;Bolívar;98;28;42
2005;13;Bolívar;99;38;45
2005;13;Bolívar;100;22;29
2005;13;Bolívar;101;5;23
2005;13;Bolívar;102;5;20
2005;13;Bolívar;103;6;11
2005;13;Bolívar;104;3;7
2005;13;Bolívar;105;5;13
2005;13;Bolívar;106;1;2
2005;13;Bolívar;108;NA;4
2005;13;Bolívar;109;1;NA
2005;13;Bolívar;111;1;NA
2005;13;Bolívar;112;NA;1
2005;13;Bolívar;114;1;1
2005;15;Boyacá;0;12322;11574
2005;15;Boyacá;1;12223;11434
2005;15;Boyacá;2;12029;11450
2005;15;Boyacá;3;12067;11547
2005;15;Boyacá;4;12239;11544
2005;15;Boyacá;5;12910;12480
2005;15;Boyacá;6;13322;12423
2005;15;Boyacá;7;13248;12543
2005;15;Boyacá;8;13225;12592
2005;15;Boyacá;9;13486;13012
2005;15;Boyacá;10;13665;13130
2005;15;Boyacá;11;13531;12967
2005;15;Boyacá;12;13510;12789
2005;15;Boyacá;13;13356;12441
2005;15;Boyacá;14;13070;12433
2005;15;Boyacá;15;13098;12412
2005;15;Boyacá;16;12405;11753
2005;15;Boyacá;17;11975;11168
2005;15;Boyacá;18;11636;10402
2005;15;Boyacá;19;10627;9892
2005;15;Boyacá;20;10634;10009
2005;15;Boyacá;21;9602;9557
2005;15;Boyacá;22;9563;9628
2005;15;Boyacá;23;9803;9733
2005;15;Boyacá;24;9165;9217
2005;15;Boyacá;25;9709;9225
2005;15;Boyacá;26;9034;9118
2005;15;Boyacá;27;8381;8181
2005;15;Boyacá;28;8348;8302
2005;15;Boyacá;29;8003;8032
2005;15;Boyacá;30;8583;8404
2005;15;Boyacá;31;7638;7922
2005;15;Boyacá;32;7744;7954
2005;15;Boyacá;33;8019;8505
2005;15;Boyacá;34;7488;7839
2005;15;Boyacá;35;8152;8148
2005;15;Boyacá;36;7641;8447
2005;15;Boyacá;37;7616;8173
2005;15;Boyacá;38;7557;7779
2005;15;Boyacá;39;7357;7847
2005;15;Boyacá;40;7808;8143
2005;15;Boyacá;41;6946;7324
2005;15;Boyacá;42;7238;7697
2005;15;Boyacá;43;6664;7373
2005;15;Boyacá;44;6510;7004
2005;15;Boyacá;45;7344;7491
2005;15;Boyacá;46;6163;6453
2005;15;Boyacá;47;5829;6355
2005;15;Boyacá;48;5966;6333
2005;15;Boyacá;49;5793;6299
2005;15;Boyacá;50;5868;6276
2005;15;Boyacá;51;5320;5706
2005;15;Boyacá;52;5196;5656
2005;15;Boyacá;53;4939;5258
2005;15;Boyacá;54;4768;4956
2005;15;Boyacá;55;5116;5404
2005;15;Boyacá;56;4696;4885
2005;15;Boyacá;57;4175;4493
2005;15;Boyacá;58;4131;4364
2005;15;Boyacá;59;3833;4267
2005;15;Boyacá;60;3937;4402
2005;15;Boyacá;61;3347;3751
2005;15;Boyacá;62;3429;3843
2005;15;Boyacá;63;3602;3987
2005;15;Boyacá;64;3057;3438
2005;15;Boyacá;65;3865;4353
2005;15;Boyacá;66;3338;3624
2005;15;Boyacá;67;3263;3577
2005;15;Boyacá;68;3025;3355
2005;15;Boyacá;69;2759;3206
2005;15;Boyacá;70;3086;3518
2005;15;Boyacá;71;2650;3047
2005;15;Boyacá;72;2628;2933
2005;15;Boyacá;73;2472;2598
2005;15;Boyacá;74;2164;2493
2005;15;Boyacá;75;2568;2995
2005;15;Boyacá;76;2051;2287
2005;15;Boyacá;77;1942;2236
2005;15;Boyacá;78;1590;1815
2005;15;Boyacá;79;1380;1744
2005;15;Boyacá;80;1389;1731
2005;15;Boyacá;81;1017;1201
2005;15;Boyacá;82;953;1238
2005;15;Boyacá;83;937;1146
2005;15;Boyacá;84;783;1018
2005;15;Boyacá;85;761;1091
2005;15;Boyacá;86;540;728
2005;15;Boyacá;87;479;627
2005;15;Boyacá;88;374;494
2005;15;Boyacá;89;294;458
2005;15;Boyacá;90;246;384
2005;15;Boyacá;91;178;262
2005;15;Boyacá;92;115;196
2005;15;Boyacá;93;104;168
2005;15;Boyacá;94;72;138
2005;15;Boyacá;95;59;115
2005;15;Boyacá;96;33;56
2005;15;Boyacá;97;15;35
2005;15;Boyacá;98;20;32
2005;15;Boyacá;99;10;26
2005;15;Boyacá;100;10;15
2005;15;Boyacá;101;2;10
2005;15;Boyacá;102;8;4
2005;15;Boyacá;103;4;4
2005;15;Boyacá;104;NA;2
2005;15;Boyacá;105;5;6
2005;15;Boyacá;106;2;NA
2005;15;Boyacá;107;1;NA
2005;15;Boyacá;110;1;1
2005;15;Boyacá;115;2;NA
2005;17;Caldas;0;7550;6981
2005;17;Caldas;1;7106;6823
2005;17;Caldas;2;7170;7078
2005;17;Caldas;3;7476;7105
2005;17;Caldas;4;7788;7416
2005;17;Caldas;5;8255;7761
2005;17;Caldas;6;8298;7822
2005;17;Caldas;7;8323;7670
2005;17;Caldas;8;8712;8257
2005;17;Caldas;9;9043;8514
2005;17;Caldas;10;9057;8807
2005;17;Caldas;11;9104;8812
2005;17;Caldas;12;9247;8722
2005;17;Caldas;13;9222;8935
2005;17;Caldas;14;9365;8866
2005;17;Caldas;15;9011;8613
2005;17;Caldas;16;8800;8643
2005;17;Caldas;17;8676;8386
2005;17;Caldas;18;8056;8137
2005;17;Caldas;19;7287;7607
2005;17;Caldas;20;7386;7464
2005;17;Caldas;21;6897;7436
2005;17;Caldas;22;6900;7332
2005;17;Caldas;23;7347;7535
2005;17;Caldas;24;7067;7280
2005;17;Caldas;25;7043;7188
2005;17;Caldas;26;6641;7170
2005;17;Caldas;27;6210;6561
2005;17;Caldas;28;5857;6287
2005;17;Caldas;29;5619;5949
2005;17;Caldas;30;5449;5934
2005;17;Caldas;31;5529;5887
2005;17;Caldas;32;5547;5935
2005;17;Caldas;33;5669;6357
2005;17;Caldas;34;6074;6326
2005;17;Caldas;35;5974;6517
2005;17;Caldas;36;6138;6935
2005;17;Caldas;37;5956;6910
2005;17;Caldas;38;6113;6677
2005;17;Caldas;39;5965;6880
2005;17;Caldas;40;6320;6831
2005;17;Caldas;41;6072;6848
2005;17;Caldas;42;6153;6833
2005;17;Caldas;43;5794;6651
2005;17;Caldas;44;5579;6271
2005;17;Caldas;45;5886;6603
2005;17;Caldas;46;5634;6144
2005;17;Caldas;47;5348;6060
2005;17;Caldas;48;5353;6064
2005;17;Caldas;49;5213;5709
2005;17;Caldas;50;5217;5847
2005;17;Caldas;51;4681;5350
2005;17;Caldas;52;4729;5178
2005;17;Caldas;53;4460;5017
2005;17;Caldas;54;4141;4529
2005;17;Caldas;55;4004;4351
2005;17;Caldas;56;3746;4028
2005;17;Caldas;57;3601;4201
2005;17;Caldas;58;3487;3819
2005;17;Caldas;59;3134;3471
2005;17;Caldas;60;3279;3547
2005;17;Caldas;61;2771;3121
2005;17;Caldas;62;2713;3131
2005;17;Caldas;63;2640;3040
2005;17;Caldas;64;2462;2817
2005;17;Caldas;65;2652;3016
2005;17;Caldas;66;2419;2800
2005;17;Caldas;67;2281;2619
2005;17;Caldas;68;2164;2565
2005;17;Caldas;69;2019;2474
2005;17;Caldas;70;2054;2520
2005;17;Caldas;71;1882;2208
2005;17;Caldas;72;1785;2083
2005;17;Caldas;73;1726;1972
2005;17;Caldas;74;1566;1885
2005;17;Caldas;75;1778;1957
2005;17;Caldas;76;1424;1634
2005;17;Caldas;77;1368;1572
2005;17;Caldas;78;1118;1403
2005;17;Caldas;79;1068;1252
2005;17;Caldas;80;955;1133
2005;17;Caldas;81;775;917
2005;17;Caldas;82;690;850
2005;17;Caldas;83;585;727
2005;17;Caldas;84;503;602
2005;17;Caldas;85;513;591
2005;17;Caldas;86;373;431
2005;17;Caldas;87;323;392
2005;17;Caldas;88;258;310
2005;17;Caldas;89;215;245
2005;17;Caldas;90;184;210
2005;17;Caldas;91;130;165
2005;17;Caldas;92;97;129
2005;17;Caldas;93;64;116
2005;17;Caldas;94;55;77
2005;17;Caldas;95;30;60
2005;17;Caldas;96;15;36
2005;17;Caldas;97;10;27
2005;17;Caldas;98;17;16
2005;17;Caldas;99;8;21
2005;17;Caldas;100;3;12
2005;17;Caldas;101;4;6
2005;17;Caldas;102;3;8
2005;17;Caldas;103;1;2
2005;17;Caldas;104;1;2
2005;17;Caldas;105;2;3
2005;17;Caldas;106;1;NA
2005;17;Caldas;107;NA;1
2005;17;Caldas;110;1;NA
2005;17;Caldas;115;1;NA
2005;18;Caquetá;0;5312;5049
2005;18;Caquetá;1;4949;4686
2005;18;Caquetá;2;4770;4450
2005;18;Caquetá;3;4390;4192
2005;18;Caquetá;4;4519;4135
2005;18;Caquetá;5;4752;4528
2005;18;Caquetá;6;4398;4279
2005;18;Caquetá;7;4269;3909
2005;18;Caquetá;8;4397;4161
2005;18;Caquetá;9;4308;4119
2005;18;Caquetá;10;4237;4313
2005;18;Caquetá;11;4283;4171
2005;18;Caquetá;12;4140;4028
2005;18;Caquetá;13;4085;3948
2005;18;Caquetá;14;4118;4060
2005;18;Caquetá;15;3821;3729
2005;18;Caquetá;16;3701;3697
2005;18;Caquetá;17;3388;3258
2005;18;Caquetá;18;3237;3046
2005;18;Caquetá;19;3227;2955
2005;18;Caquetá;20;3225;2909
2005;18;Caquetá;21;2923;2787
2005;18;Caquetá;22;2952;2686
2005;18;Caquetá;23;2947;2870
2005;18;Caquetá;24;2686;2614
2005;18;Caquetá;25;2876;2805
2005;18;Caquetá;26;2635;2566
2005;18;Caquetá;27;2495;2559
2005;18;Caquetá;28;2411;2385
2005;18;Caquetá;29;2172;2196
2005;18;Caquetá;30;2120;2278
2005;18;Caquetá;31;2149;2337
2005;18;Caquetá;32;2148;2165
2005;18;Caquetá;33;2299;2374
2005;18;Caquetá;34;2008;2110
2005;18;Caquetá;35;2332;2421
2005;18;Caquetá;36;1937;2047
2005;18;Caquetá;37;2111;2273
2005;18;Caquetá;38;2007;2109
2005;18;Caquetá;39;1915;2031
2005;18;Caquetá;40;1842;1960
2005;18;Caquetá;41;1785;1923
2005;18;Caquetá;42;1848;1870
2005;18;Caquetá;43;1800;1806
2005;18;Caquetá;44;1624;1508
2005;18;Caquetá;45;1708;1680
2005;18;Caquetá;46;1463;1481
2005;18;Caquetá;47;1440;1451
2005;18;Caquetá;48;1322;1285
2005;18;Caquetá;49;1235;1276
2005;18;Caquetá;50;1311;1314
2005;18;Caquetá;51;1216;1202
2005;18;Caquetá;52;1138;1119
2005;18;Caquetá;53;1082;1104
2005;18;Caquetá;54;1094;1038
2005;18;Caquetá;55;1083;986
2005;18;Caquetá;56;980;954
2005;18;Caquetá;57;933;878
2005;18;Caquetá;58;894;807
2005;18;Caquetá;59;805;791
2005;18;Caquetá;60;861;777
2005;18;Caquetá;61;747;663
2005;18;Caquetá;62;701;624
2005;18;Caquetá;63;754;626
2005;18;Caquetá;64;652;579
2005;18;Caquetá;65;699;671
2005;18;Caquetá;66;628;568
2005;18;Caquetá;67;586;524
2005;18;Caquetá;68;532;522
2005;18;Caquetá;69;544;544
2005;18;Caquetá;70;573;556
2005;18;Caquetá;71;418;414
2005;18;Caquetá;72;492;477
2005;18;Caquetá;73;460;410
2005;18;Caquetá;74;470;417
2005;18;Caquetá;75;448;414
2005;18;Caquetá;76;342;290
2005;18;Caquetá;77;321;253
2005;18;Caquetá;78;271;222
2005;18;Caquetá;79;232;156
2005;18;Caquetá;80;205;202
2005;18;Caquetá;81;172;138
2005;18;Caquetá;82;137;131
2005;18;Caquetá;83;146;133
